FIRM_ID,FIRM_NAME,SEARCH_TERM
105780,"NORTHERN TRUST INVESTMENTS, INCORPORATED",:801-33358
105790,"JOHN HANCOCK INVESTMENT MANAGEMENT, LLC",:801-8124
105794,"MEEDER ASSET MANAGEMENT, INC.",:801-9839
105818,TORRAY LLC,:801-8629
105826,LEUTHOLD WEEDEN CAPITAL MANAGEMENT,:801-30686
105879,DANA INVESTMENT ADVISORS INC,:801-14828
105890,MORRIS CAPITAL ADVISORS INC,:801-48262
105907,KLINGENSTEIN FIELDS ADVISORS,:801-33347
105926,PINEBRIDGE INVESTMENTS LLC,:801-18759
105938,SIMMS CAPITAL MANAGEMENT INC,:801-38275
105939,IMS CAPITAL MANAGEMENT,:801-33939
105954,"TURNER INVESTMENTS, L.P.",:801-36220
105958,VANGUARD GROUP INC,:801-11953
105963,"TETON ADVISORS, INC.",:801-47568
105992,"MANNING & NAPIER ADVISORS, LLC",:801-10733
106006,BARINGS LLC,:801-241
106012,"CREDIT SUISSE ASSET MANAGEMENT, LLC",:801-37170
106039,"PREMIS CAPITAL PARTNERS, INC.",:801-46059
106054,"MATTHEWS INTERNATIONAL CAPITAL MANAGEMENT, LLC",:801-52871
106060,"WILBANKS, SMITH & THOMAS ASSET MANAGEMENT, LLC",:801-37972
106070,CLEARBRIDGE ASSET MANAGEMENT INC,:801-32046
106081,WASATCH ADVISORS INC,:801-11095
106093,"POLEN CAPITAL MANAGEMENT, LLC",:801-15180
106098,BROWN ADVISORY,:801-50655
106128,"TURNER INVESTMENT MANAGEMENT, LLC",:801-51306
106165,THOMAS WHITE INTERNATIONAL LTD,:801-41896
106173,"MCKINLEY CAPITAL MANAGEMENT, LLC",:801-38751
106178,PROSPECT ASSET MANAGEMENT INC,:801-47749
106189,VICTORY CAPITAL MANAGEMENT INC.,:801-46878
106199,"GRIMALDI PORTFOLIO SOLUTIONS, INC",:801-51163
106201,SECURITY CAPITAL RESEARCH & MANAGEMENT INCORPORATED,:801-53815
106204,KINETICS ASSET MANAGEMENT LLC,:801-52581
106207,IGNIS INVESTMENT SERVICES LIMITED,:801-48185
106220,GRANTHAM MAYO VAN OTTERLOO & CO LLC,:801-15028
106266,COHEN & STEERS CAPITAL MANAGEMENT INC.,:801-27721
106275,FRANKLIN STREET ADVISORS INC.,:801-39635
106277,FEDERATED GLOBAL INVESTMENT MANAGEMENT CORP.,:801-49470
106278,"POLARIS CAPITAL MANAGEMENT, LLC",:801-43216
106282,KALMAR INVESTMENT ADVISERS,:801-53608
106288,MORGAN DEMPSEY CAPITAL MANAGEMENT LLC,:801-48064
106289,"COMPASS ASSET MANAGEMENT, LLC",:801-53805
106297,"SEMPER CAPITAL MANAGEMENT, L.P.",:801-42753
106301,SMITH GROUP ASSET MANAGEMENT,:801-50835
106304,TOEWS CORPORATION,:801-47765
106336,"WBI INVESTMENTS, INC.",:801-22873
106338,MITCHELL CAPITAL MANAGEMENT CO,:801-29318
106343,WADDELL & REED INVESTMENTS,:801-40372
106356,"SKYLINE ASSET MANAGEMENT, L.P.",:801-49603
106357,THORNBURG INVESTMENT MANAGEMENT INC,:801-17853
106398,FCI ADVISORS,:801-48195
106430,GLOBALT INC,:801-38123
106432,"REINHART PARTNERS, INC.",:801-40278
106451,NIEMANN CAPITAL MANAGEMENT INC,:801-39734
106466,BMO ASSET MANAGEMENT CORP.,:801-35533
106482,DIMENSIONAL FUND ADVISORS LP,:801-16283
106494,VOYA INVESTMENT MANAGEMENT CO. LLC,:801-9046
106505,SEGALL BRYANT & HAMILL,:801-47232
106516,"SNOW CAPITAL MANAGEMENT, L.P.",:801-37238
106523,MUTUAL OF AMERICA CAPITAL MANAGEMENT LLC,:801-43897
106546,TCW INVESTMENT MANAGEMENT COMPANY LLC,:801-29075
106584,SAROFIM FAYEZ & CO,:801-1725
106585,SCHRODER INVESTMENT MANAGEMENT NORTH AMERICA LTD,:801-37163
